V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
-0.951820183,0.653444623,-0.350397319,-0.638023028,0.762554906,1.086044769,1.071698536,-0.133598452,1.482903456,-0.802568838,1
-1.020025784,0.547600178,1.178246231,-0.631426505,0.942530878,1.423163051,0.99870653,-0.22341736,1.12674014,-1.062853684,1
-0.816910491,0.44011433,1.094352959,-1.19121256,1.519515389,1.252360209,1.067482659,0.846396854,0.839295011,-1.230386062,1
-0.545950843,1.360773804,2.25650844,-0.863076105,1.184116212,0.930927353,1.039071331,-0.096000297,1.060170599,-1.054380651,1
-0.546773304,0.98202617,0.679165332,-1.051643104,0.592271405,1.161260434,1.05146532,-0.455147715,1.411184338,-1.124635058,1
-1.159264125,0.910415226,1.14871222,-0.791286155,0.81172327,1.064971769,0.89595954,1.38809428,0.898797913,-0.931414839,1
-0.182224291,1.479833534,1.223783932,-1.229384257,1.10502609,0.918330313,0.728275282,0.071026255,0.94306269,-1.090647231,1
-0.504540679,0.686755157,0.451276504,-0.870199266,0.921056152,1.16288094,0.567764605,0.727416654,1.127288273,-1.199945737,1
-0.462731143,0.93070643,1.447281031,-0.756949323,0.405042662,0.914391987,0.684529213,0.284175588,1.055022272,-0.314907795,1
-0.572913115,0.780553426,-0.19161525,-1.445490524,1.107117405,1.236731714,0.537777662,-0.584151653,0.626801518,-1.107841015,1
-0.937958075,1.168043372,-0.178997665,-0.796769278,0.92033828,0.920962379,1.024113444,0.609471249,0.007431921,-0.761725919,1
-0.763366297,0.840857819,1.585679798,-0.921575998,0.161459525,0.95576436,1.037767514,-0.216845172,0.06910508,-0.969463383,1
-1.052888606,1.61222833,-0.954085786,-1.16747912,0.799021138,1.054375865,1.002507951,1.063517985,0.400603575,-1.030123922,1
-1.054523097,1.280435369,1.069651413,-1.36883222,1.402324627,0.694210897,1.195558352,0.096058826,0.951688545,-0.984114915,1
-0.985404513,0.839575632,0.19610529,-1.055429513,0.850127779,0.871136517,0.97370989,0.728637142,1.186655244,-0.939147686,1
-0.942491589,1.226586,-0.823188521,-1.287334831,0.898904522,0.983293942,1.20695723,0.058645148,0.575071384,-0.381340529,1
-0.960695913,0.128600787,-0.620324299,-0.937746422,1.365251239,0.954085152,0.773280171,0.147999984,0.410690643,-0.870567724,1
-0.877190426,1.18307112,-0.605524108,-0.920441987,0.809269638,1.17883723,1.048577628,0.134155674,0.917456896,-1.155373304,1
-0.695732365,-0.003060165,0.045268934,-1.109261266,0.603120526,0.984018791,0.99494942,1.541552481,0.898581662,-0.867908058,1
-1.400749312,2.256893913,0.165090918,-0.487988805,0.672008643,0.765861999,0.776798263,-1.347853001,1.19181644,-0.87820902,1
-0.762941534,-0.009444603,0.516461973,-0.668659421,1.10890551,0.999214713,0.884907982,-0.048426222,0.802149638,-1.29302833,0
-1.108476226,0.903695323,0.454275457,-1.125947881,1.314998607,1.101497038,1.395520925,1.789773381,0.874310731,-0.912916701,0
-1.28950896,1.204750701,0.133602626,-1.133895265,0.743256887,0.921406103,1.07440293,1.28345401,0.905696497,-1.069589154,0
-1.803818658,2.198116276,-0.218239419,-0.95023014,1.038747028,1.176351357,0.833189715,0.731906948,0.115336386,-0.884255539,0
-1.057142927,0.950628771,-0.08467669,-0.708675482,1.164590296,0.796732262,0.889131214,-0.747049836,1.250274482,-1.002745481,0
-1.119838476,1.225426858,1.119792663,-1.075554707,0.910032765,0.878102174,0.788907482,-0.405303988,0.494419548,-0.905956602,0
-1.067071449,0.417562296,0.90269147,-1.383393839,1.080901782,0.704407639,0.853461366,-0.559940874,1.52056989,-1.033310911,0
-0.853917736,-0.127491732,0.268480881,-1.012493305,1.40123892,1.047960056,0.768162999,0.650740187,1.351603496,-1.067452275,0
-0.573194866,0.824989216,0.050812456,-1.477962974,0.652529701,0.989724172,1.168560195,0.972804523,0.826455462,-1.035101173,0
-0.631008029,1.281145515,2.393946661,-0.631463566,0.864464779,0.939376302,1.232880493,1.080379205,1.193799925,-1.306233359,0
-0.334911084,0.611412713,-0.192070568,-1.179010938,0.459827356,1.120494969,0.622002031,0.048773637,1.296614095,-1.143178139,0
-0.648516817,2.158666045,0.239232925,-0.805404229,1.018870283,1.151880146,0.573945781,-0.404014836,0.956352783,-0.801549476,0
-0.864958533,0.476012892,-0.107148713,-1.254256105,0.927710968,0.990123608,0.829830467,0.447526293,0.867748402,-0.954399743,0
-1.308573469,1.110898768,-1.493686695,-1.056461527,0.70660105,0.949546709,0.47883887,0.842279921,1.06050759,-1.057062123,0
-0.532669048,1.094808136,0.976642997,-0.922493359,1.106178137,1.218543458,0.745645671,-0.352093572,1.093965364,-0.680016537,0
-1.063935614,1.419855581,0.085251039,-0.942559038,0.944697426,1.273685501,1.019760516,1.515564679,0.166238586,-0.890857795,0
-0.917873707,1.181795022,3.121488225,-0.956715522,0.853752505,0.909699971,0.955125032,-0.080232657,0.954845944,-0.994459654,0
-0.728417182,0.300762177,0.832343771,-0.633075091,0.500739802,0.817264661,0.767295122,-0.497916953,0.819017643,-0.785409631,0
-0.57875082,0.926752058,-0.663930025,-1.253154784,0.991217288,1.392292942,0.883931231,0.220774679,1.616250909,-0.991869005,0
-0.682274571,1.444420312,0.029785345,-0.475617322,1.128550703,0.912581529,1.020096686,-0.228163587,0.81632261,-1.169718939,0
-0.899143102,1.346226898,-0.909875537,-1.379876472,0.839408559,0.969381699,0.830584355,0.070662345,0.252103388,-1.111738085,0
-0.852335439,0.608261754,1.222669979,-0.608468416,1.001415172,0.758951114,0.699943792,-1.399656571,0.282160916,-1.219482128,0
-1.158120854,0.909696619,0.688232007,-0.840988931,0.554729847,1.080687999,0.802228736,1.340698278,0.495886601,-0.87144688,0
-0.985808705,0.905987339,0.079685204,-0.796892193,1.056368799,1.240424502,1.118102784,1.467726356,-0.251147974,-0.855580125,0
-0.471004438,0.678515871,0.950202008,-1.395215238,0.677839281,1.353474712,0.521088501,0.434875473,1.016079542,-1.013046031,0
-1.702429636,1.571009032,2.05643229,-1.140774636,1.387581757,0.891157894,1.094591672,-0.649943087,1.541908454,-0.723583102,0
-1.982248806,0.541983797,0.109760253,-0.89694812,0.87746498,0.66408611,1.311125129,-0.272178049,0.978847569,-0.970871183,0
-1.707680031,1.072816051,1.665962549,-1.220066472,0.597166788,0.601557331,0.716781381,0.502272041,0.836710419,-0.93939964,0
-1.201336009,0.882213856,0.761152607,-0.831140479,0.823869995,0.55743583,0.871265855,2.306417186,0.438644921,-1.192387188,0
-1.247800112,1.274243147,0.242177365,-1.165043475,1.076881116,0.935937078,0.959164711,0.252685473,0.958261437,-0.985674653,0
